nom,edat,sou,ciutat,estudis
James Carr,32,1497.24,Ongole,3
Orson Cline,34,1505.51,Colorado Springs,1
Wyatt Johns,48,1738.53,Manfredonia,1
Todd Hartman,37,1131.76,Stockport,1
Igor Molina,62,409.78,Stamford,1
Dolan Conway,61,681.65,Montreal,0
Breanna Strickland,33,296.10,San Luca,1
Clinton Petersen,29,1538.22,Ñuñoa,1
Tyrone Snider,21,1417.41,Bielefeld,1
Blossom Stewart,28,528.46,Melilla,0
Ahmed Wheeler,52,1955.74,Lawton,3
Barbara Simmons,19,1922.34,Halle,2
Francis Guthrie,31,1061.79,Mont-Saint-Guibert,3
Gary Terry,29,526.29,Strathcona County,3
Bert Mclaughlin,39,1223.42,San Pancrazio Salentino,0
Vernon Leblanc,26,1665.53,Cambiago,1
Lael Mcneil,60,1252.67,Belford Roxo,3
Austin Butler,21,219.42,Malbaie,0
Akeem Avila,55,1208.85,Rio nell'Elba,2
Holly Cherry,58,1279.37,Lourdes,1
Suki Sharpe,61,369.70,Montgomery,1
Myles Hull,27,1233.93,Howrah,2
Bianca Mccoy,47,102.86,Lichtaart,0
Oliver Terry,42,876.30,Kallo,2
Anjolie Roman,32,1472.48,Travo,3
Levi Crawford,22,1448.28,Woodstock,3
Colt Jacobs,45,813.50,Palmiano,1
Ignatius Alvarado,21,875.42,Weyburn,0
